test_id,generations_config,pop_size,algorithm,generation,median_fitness,q1_fitness,q3_fitness,n_runs
1.2,200,100,eml_std,87,0.0,0.0,3.7500000000000005e-06,30
1.2,200,100,eml_std,88,0.0,0.0,3.7500000000000005e-06,30
1.2,200,100,eml_std,89,0.0,0.0,3.7500000000000005e-06,30
1.2,200,100,eml_std,90,0.0,0.0,3.7500000000000005e-06,30
1.2,200,100,eml_std,91,0.0,0.0,0.0,30
1.2,200,100,eml_std,92,0.0,0.0,0.0,30
1.2,200,100,eml_std,93,0.0,0.0,0.0,30
1.2,200,100,eml_std,94,0.0,0.0,0.0,30
1.2,200,100,eml_std,95,0.0,0.0,0.0,30
1.2,200,100,eml_std,96,0.0,0.0,0.0,30
1.2,200,100,eml_std,97,0.0,0.0,0.0,30
1.2,200,100,eml_std,98,0.0,0.0,0.0,30
1.2,200,100,eml_std,99,0.0,0.0,0.0,30
1.2,200,100,eml_std,100,0.0,0.0,0.0,30
1.2,200,100,eml_std,101,0.0,0.0,0.0,30
1.2,200,100,eml_std,102,0.0,0.0,0.0,30
1.2,200,100,eml_std,103,0.0,0.0,0.0,30
1.2,200,100,eml_std,104,0.0,0.0,0.0,30
1.2,200,100,eml_std,105,0.0,0.0,0.0,30
1.2,200,100,eml_std,106,0.0,0.0,0.0,30
1.2,200,100,eml_std,107,0.0,0.0,0.0,30
1.2,200,100,eml_std,108,0.0,0.0,0.0,30
1.2,200,100,eml_std,109,0.0,0.0,0.0,30
1.2,200,100,eml_std,110,0.0,0.0,0.0,30
1.2,200,100,eml_std,111,0.0,0.0,0.0,30
1.2,200,100,eml_std,112,0.0,0.0,0.0,30
1.2,200,100,eml_std,113,0.0,0.0,0.0,30
1.2,200,100,eml_std,114,0.0,0.0,0.0,30
1.2,200,100,eml_std,115,0.0,0.0,0.0,30
1.2,200,100,eml_std,116,0.0,0.0,0.0,30
1.2,200,100,eml_std,117,0.0,0.0,0.0,30
1.2,200,100,eml_std,118,0.0,0.0,0.0,30
1.2,200,100,eml_std,119,0.0,0.0,0.0,30
1.2,200,100,eml_std,120,0.0,0.0,0.0,30
1.2,200,100,eml_std,121,0.0,0.0,0.0,30
